"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" 1.53171454579798 1.32717991754768 1.49778411060924
"114.11.5" 1.53171454580456 1.32717991755983 1.49778411062139
"128.13.5" 1.53171454583707 1.32717991762658 1.49778411068814
"139.14.5" 1.53171454580061 1.32717991755152 1.49778411061307
"129.13.6" 1.53171454578749 1.32717991752728 1.49778411058883
"116.11.7" 1.53171454576586 1.32717991748236 1.49778411054392
"141.14.7" 1.53171454577561 1.32717991750233 1.49778411056389
"118.11.10" 1.5317145457075 1.32717991736655 1.4977841104281
"133.13.11" 1.53171454578661 1.32717991752423 1.49778411058578
