"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" 1.39724639580334 1.05267897179541 1.00978610365878
"126.13.3" 1.2833046335868 1.15994061298417 1.11704774484754
"127.13.4" 0.958792799771702 0.851287155925538 0.808394287788908
"114.11.5" 0.945759406171707 0.76678206280427 0.723889194667641
"128.13.5" 1.10006471956056 0.98504836822426 0.94215550008763
"139.14.5" 1.56675400905291 1.4287990413529 1.38590617321627
"129.13.6" 1.46872130940812 1.340515693888 1.29762282575137
"140.14.6" 1.53647293432993 1.24032237301735 1.19742950488072
"116.11.7" 1.0599628691702 1.1148878732163 1.07199500507967
"141.14.7" 1.25328286918355 1.16761554822275 1.12472268008612
"117.11.9" 0.824979734080932 0.816916814845011 0.774023946708382
"118.11.10" 1.12331704423496 1.11336679372043 1.0704739255838
"133.13.11" 0.495878457713177 0.431003007459832 0.388110139323202
"162.14.15" 1.25280865165596 1.14188799701848 1.09899512888185
