"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -2.69249974085019 -2.08789221565989 -1.34045275048123
"114.11.5" -3.42244107077433 -2.81783354558403 -2.07039408040537
"128.13.5" -2.94822495455807 -2.34361742936777 -1.59617796418911
"139.14.5" -2.96857030327133 -2.36396277808103 -1.61652331290237
"140.14.6" -3.1793560537066 -2.57474852851631 -1.82730906333764
"116.11.7" -3.53506900609448 -2.93046148090418 -2.18302201572552
"141.14.7" -2.82764989938501 -2.22304237419472 -1.47560290901606
"118.11.10" -3.53720018440103 -2.93259265921074 -2.18515319403208
"133.13.11" -3.63638187523841 -3.03177435004811 -2.28433488486945
