"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -0.981507944501039 -1.03904801813322 -0.908666444020292
"114.11.5" -1.00613647318037 -1.06367654681256 -0.933294972699627
"128.13.5" -0.998324185129109 -1.05586425876129 -0.925482684648362
"139.14.5" -0.975301909924466 -1.03284198355665 -0.902460409443719
"140.14.6" -0.99068536213285 -1.04822543576504 -0.917843861652102
"116.11.7" -0.991695789169636 -1.04923586280182 -0.918854288688889
"141.14.7" -0.996906388477681 -1.05444646210987 -0.924064887996933
"118.11.10" -1.00597003919537 -1.06351011282755 -0.933128538714618
"133.13.11" -0.999345353897294 -1.05688542752948 -0.926503853416547
