"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -1.71230166574647 -1.66304614879079 -1.0603455077242
"114.11.5" -1.71376938654581 -2.14552192131349 -1.5428212802469
"128.13.5" -1.25217576495111 -1.41905147484559 -0.816350833778992
"139.14.5" -0.829245295339745 -1.52341573196431 -0.920715090897713
"129.13.6" -0.82796113509948 -1.36168520645063 -0.758984565384035
"116.11.7" -1.45921285126785 -2.61146796826576 -2.00876732719917
"141.14.7" -1.72391892269337 -1.59188119827468 -0.989180557208091
"118.11.10" -1.86894939867152 -2.02922591571724 -1.42652527465065
"133.13.11" -2.70615488830616 -2.89157051501139 -2.28886987394479
